Unnamed: 0,CARNAME,ID,Make,Model,Body color,Type of finish,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,El. motor power,CO2 emissions,Emission class,Battery type,AC charging time,DC charging time,Battery warranty (km),Range extender,Mileage,First registration,Condition,Consumption,Price,Currency,Tags,Engine capacity,Valid MOT until,Previous owners,Engine power,Battery capacity,Hybrid type,Electric range,Warranty until,Weight,Country of origin,Secondary drive,Energy efficiency,Full service history,Battery capacity1
54,volvo v60,61030787,Volvo,V60,Grey,Metallic,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,228 kW,,171 g/km,Euro 6d-TEMP,,,,,,64 801 km,2/2020,,7.4 l/100km (combined); 10.1 l/100km (city); 6.1 l/100km ,29899,EUR,LED headlights; Digital cockpit; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Voice control; Navigation system,1 969 ccm,,1.0,,,,,,,,,,,
55,kia sportage,61030771,Kia,Sportage,Green,Metallic,Black interior,Velour interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,132 kW,,137 g/km,Euro 6d,,,,,No,10 km,10/2023,Demonstration car,6 l/100km (combined); 7 l/100km (city); 5.4 l/100km ,45799,EUR,Ventilated front seats; Heated rear seats; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Apple CarPlay,1 598 ccm,,,,,Mild hybrid,,,,,,,,
56,lexus rx-450,61030751,Lexus,RX 450,Grey,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,not published by the seller,Hybrid,Automatic,4x4,230 kW,,138 g/km,Euro 6,,,,,,80 670 km,9/2018,,6 l/100km (combined); 6.2 l/100km (city); 6 l/100km ,44949,EUR,Ventilated front seats; Heated rear seats; Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Mark Levinson audio; Heated front seats; Head-up display,3 456 ccm,,5.0,,,,,,,,,,,
57,mini cooper-s,61030709,MINI,Cooper S,Silver,Metallic,Black interior,Other interior material,Hatchback,2/3 doors,4,not published by the seller,Petrol,Manual,4x2,135 kW,,136 g/km,Euro 5,,,,,,170 000 km,7/2010,,5.8 l/100km (combined); 9.1 l/100km (city); 5.1 l/100km ,9899,EUR,Harman/Kardon audio; Heated front seats; Voice control; Sport front seats; Bluetooth; Xenon headlights; Automatic A/C; Rain sensor; Light sensor; Multifunctional steering wheel,1 598 ccm,08/2025,2.0,,,,,,,,,,,
58,aston-martin dbx,61030673,Aston Martin,DBX,Silver,,Other interior color,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,405 kW,,342 g/km,No emission class,,,,,,7 900 km,1/2023,,14.3 l/100km (combined),183399,EUR,Driver's seat with massage function; Ventilated front seats; Heated rear seats; Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control,3 982 ccm,,1.0,,,,,,,,,,,
59,citroen c5-aircross,61030674,Citroen,C5 Aircross,Black,Metallic,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,96 kW,,102 g/km,Euro 6d,,,,,,53 612 km,3/2021,,5.2 l/100km (combined); 4.5 l/100km (city); 3.8 l/100km ,27299,EUR,LED headlights; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Panoramic roof; Voice control,1 499 ccm,,1.0,,,,,,,,,,,
60,bmw ix,61030680,BMW,iX,Grey,Metallic,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x4,385 kW,,0 g/km,No emission class,,,,,,0 km,8/2023,New,0 kWh/100km (combined),122999,EUR,Laser headlights; Parking assist system self-steering; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Head-up display; Apple CarPlay,,,,,,,,,,,,,,
61,opel combo,61030668,Opel,Combo,Silver,Metallic,Black interior,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,96 kW,,111 g/km,No emission class,,,,,,3 km,1/2023,,4.2 l/100km (combined); 4.7 l/100km (city); 3.9 l/100km ,29899,EUR,Heated front seats; Voice control; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; Lane assist; Hill-start assist; Multifunctional steering wheel; Leather steering wheel,1 499 ccm,,1.0,,,,,,,,,,,
62,fiat 500,61030658,Fiat,500,Black,Metallic,Grey interior,Cloth interior,Hatchback,2/3 doors,4,not published by the seller,Petrol,Manual,4x2,51 kW,,88 g/km,Euro 6d,,,,,,23 978 km,8/2021,,4.7 l/100km (combined); 6.1 l/100km (city); 4.3 l/100km ,16849,EUR,Apple CarPlay; Android auto; Voice control; Bluetooth; Rain sensor; Light sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors,999 ccm,,2.0,,,,,,,,,,,
63,mercedes-benz c-250,61030643,Mercedes-Benz,C 250,Grey,Metallic,Black interior,Other interior material,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,155 kW,,130 g/km,Euro 6,,,,,,108 230 km,6/2018,,5.6 l/100km (combined); 7.4 l/100km (city); 4.6 l/100km ,29449,EUR,Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Burmester audio; Heated front seats; WLAN/Wifi hotspot; Integrated music streaming; Keyless ignition,1 991 ccm,,1.0,,,,,,,,,,,
64,volkswagen arteon,61030510,Volkswagen,Arteon,Black,Metallic,Other interior color,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,235 kW,,177 g/km,Euro 6d,,,,,,16 400 km,11/2022,,8.9 l/100km (combined),55399,EUR,Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Head-up display,1 984 ccm,,1.0,,,,,,,,,,,
65,mercedes-benz gle-300,61030485,Mercedes-Benz,GLE 300,Black,,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,180 kW,,193 g/km,Euro 6,,,,,,15 169 km,10/2021,,7.3 l/100km (combined); 7.1 l/100km (city); 5.5 l/100km ,68949,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Panoramic roof,1 950 ccm,,,,,,,,,,,,,
66,volkswagen t-roc,61030375,Volkswagen,T-Roc,Grey,Metallic,Black interior,Velour interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,,115 g/km,Euro 6d,,,,,,60 km,12/2023,,5 l/100km (combined); 6.2 l/100km (city); 4.4 l/100km ,35199,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; WLAN/Wifi hotspot,1 500 ccm,,1.0,,,,,,,,,,,
67,renault captur,61030379,Renault,Captur,Black,Metallic,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,103 kW,,131 g/km,Euro 6d,,,,,No,10 km,12/2023,,5.8 l/100km (combined); 7.3 l/100km (city); 4.8 l/100km ,27849,EUR,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system,1 332 ccm,,,,,Mild hybrid,,,,,,,,
68,ford transit-custom,61030371,Ford,Transit Custom,White,,Black interior,Cloth interior,Cargo VAN,4/5 doors,3,not published by the seller,Diesel,Manual,4x2,100 kW,,176 g/km,Euro 6d-TEMP,,,,,,10 km,12/2023,,7.7 l/100km (combined); 9.3 l/100km (city); 6.7 l/100km ,36999,EUR,LED headlights; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic A/C,1 996 ccm,,1.0,,,,,,,,,,,
69,mercedes-benz v-300,61030372,Mercedes-Benz,V 300,Black,Metallic,Black interior,Full leather interior,MPV/VAN,4/5 doors,8+,not published by the seller,Diesel,Automatic,4x2,174 kW,,209 g/km,Euro 6d,,,,,,14 722 km,7/2022,,8 l/100km (combined); 7.5 l/100km (city); 6 l/100km ,75449,EUR,LED headlights; Adaptive cruise control; Heated front seats; Integrated music streaming; Navigation system; El. tailgate; Traffic sign recognition; Bluetooth; Leather; Automatic A/C,1 950 ccm,,1.0,,,,,,,,,,,
70,ford kuga,61030353,Ford,Kuga,Blue,Metallic,Grey interior,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,165 kW,97 kW,118 g/km,Euro 6d,Lithium-ion (Li-ion),,,,No,19 956 km,10/2022,,5.1 l/100km (combined),36249,EUR,Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,2 488 ccm,10/2025,1.0,,14 kWh,,,,,,,,,
71,mercedes-benz s-450,61030330,Mercedes-Benz,S 450,Black,Metallic,Brown interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,270 kW,,159 g/km,Euro 6d-TEMP,,,,,,29 km,9/2023,New,7 l/100km (combined); 6.8 l/100km (city); 5.4 l/100km ,169449,EUR,Driver's seat with massage function; Ventilated front seats; Heated rear seats; Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control,2 989 ccm,,,,,,,,,,,,,
72,renault clio,61030314,Renault,Clio,Grey,Metallic,Other interior color,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,54 kW,,127 g/km,Euro 6,,,,,,69 007 km,4/2018,,5.6 l/100km (combined); 7.2 l/100km (city); 4.7 l/100km ,9899,EUR,Bluetooth; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; On-board computer; CD player; USB; AUX,1 149 ccm,,1.0,,,,,,,,,,,
73,ford fiesta,61030263,Ford,Fiesta,Black,Metallic,Grey interior,Cloth interior,Hatchback,,,not published by the seller,Petrol,Manual,4x2,74 kW,,114 g/km,Euro 6d-TEMP,,,,,,15 km,9/2023,New,5.2 l/100km (combined); 7.6 l/100km (city); 5.5 l/100km ,25399,EUR,LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Voice control; Navigation system; Heated steering wheel,999 ccm,,,,,,,,,,,,,
74,opel combo,61030252,Opel,Combo,White,,Black interior,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,96 kW,,115 g/km,No emission class,,,,,,158 287 km,11/2018,,4.4 l/100km (combined); 4.8 l/100km (city); 4.1 l/100km ,14499,EUR,Heated front seats; Panoramic roof; Voice control; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning; Adaptive lighting; High beam assist; Rain sensor,1 499 ccm,08/2024,2.0,,,,,,,,,,,
75,volkswagen passat,61030244,Volkswagen,Passat,White,,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,88 kW,,125 g/km,Euro 6d-TEMP,,,,,,116 175 km,9/2019,,6.6 l/100km (combined); 4.8 l/100km (city); 4.2 l/100km ,17799,EUR,LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Paddle shifters; Traffic sign recognition,1 598 ccm,10/2024,1.0,,,,,,,,,,,
76,ford transit-custom,61030198,Ford,Transit Custom,Silver,Metallic,Other interior color,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,,169 g/km,Euro 6d,,,,,,10 km,10/2023,,8.3 l/100km (combined); 10.9 l/100km (city); 10.8 l/100km ,79149,EUR,Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Traffic sign recognition; Bluetooth; High beam assist; Rain sensor,1 997 ccm,,1.0,,,,,,,,,,,
77,dacia spring,61030177,Dacia,Spring,Grey,,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,33 kW,33 kW,0 g/km,No emission class,Lithium-ion (Li-ion),8 h,,120000 km,No,5 km,7/2023,Demonstration car,,17849,EUR,Leather; Light sensor; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Front electric windows,,07/2026,1.0,,27 kWh,,,,,,,,,
78,audi a4,61030176,Audi,A4,Silver,Metallic,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,,131 g/km,Euro 6d-TEMP,,,,,No,74 145 km,10/2019,,5.8 l/100km (combined),25549,EUR,LED headlights; Heated front seats; Voice control; Navigation system; Glare-free high beam headlights; Paddle shifters; Sport front seats; Bluetooth; Automatic A/C; High beam assist,1 984 ccm,10/2024,1.0,,,Mild hybrid,,,,,,,,
79,mini cooper-s-clubman,61030162,MINI,Cooper S Clubman,Black,Metallic,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,131 kW,,121 g/km,Euro 6d,,,,,,1 km,9/2023,New,5.8 l/100km (combined),47949,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Head-up display; Apple CarPlay,2 000 ccm,,,,,,,,,,,,,
80,volkswagen golf,61030125,Volkswagen,Golf,Black,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,,116 g/km,Euro 6d-TEMP,,,,,,81 910 km,10/2019,,4.4 l/100km (combined); 5.2 l/100km (city); 3.9 l/100km ,20399,EUR,Parking assist system self-steering; Adaptive cruise control; Heated front seats; Navigation system; Heated steering wheel; Paddle shifters; Bluetooth; Automatic 2-zones air conditioning; High beam assist; Rain sensor,1 968 ccm,,1.0,,,,,,,,,,,
81,volkswagen t5-transporter,61030113,Volkswagen,T5 Transporter,Blue,,Grey interior,Other interior material,Cargo VAN,4/5 doors,4,not published by the seller,Diesel,Manual,4x4,103 kW,,219 g/km,Euro 5,,,,,,165 833 km,8/2012,,8.3 l/100km (combined),34199,EUR,On-board computer; CD player; Front electric windows,1 968 ccm,,1.0,,,,,,,,,,,
82,citroen c5-aircross,61030073,Citroen,C5 Aircross,Black,,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,96 kW,,119 g/km,Euro 6d-TEMP,,,,,,23 830 km,6/2020,,5.2 l/100km (combined); 6.1 l/100km (city); 4.7 l/100km ,20949,EUR,Heated front seats; Integrated music streaming; Voice control; Traffic sign recognition; Bluetooth; Rain sensor; Light sensor; Lane assist; Hill-start assist; Front collision warning system,1 199 ccm,,1.0,,,,,,,,,,,
83,seat arona,61030047,Seat,Arona,Black,Metallic,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,CNG,Manual,4x2,66 kW,,115 g/km,Euro 6,,,,,,28 000 km,9/2020,,,13899,EUR,Keyless entry; Adaptive cruise control; Heated front seats; Keyless ignition; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Blind spot assist; Hill-start assist,999 ccm,11/2024,2.0,,,,,,,,,,,
84,opel combo,61030049,Opel,Combo,Blue,Metallic,Grey interior,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,,125 g/km,Euro 6d,,,,,,9 000 km,7/2022,,5.5 l/100km (combined),29449,EUR,Heated front seats; Integrated music streaming; Heated steering wheel; Traffic sign recognition; Bluetooth; Light sensor; Lane assist; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment,1 199 ccm,,1.0,,,,,,,,,,,
85,mercedes-benz amg-gt-r,61029998,Mercedes-Benz,AMG GT R,Green,,Black interior,Full leather interior,Coupe,2/3 doors,2,not published by the seller,Petrol,Automatic,4x2,430 kW,,259 g/km,Euro 6,,,,,,13 500 km,8/2018,,11.4 l/100km (combined); 15.1 l/100km (city); 9 l/100km ,155099,EUR,LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Burmester audio; Heated front seats; Apple CarPlay; Keyless ignition; Voice control; Navigation system,3 982 ccm,04/2024,2.0,,,,,,,,,,,
86,volkswagen golf,61029947,Volkswagen,Golf,Black,Metallic,Black interior,Other interior material,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,221 kW,,159 g/km,Euro 6,,,,,,91 000 km,6/2016,,6.9 l/100km (combined); 8.8 l/100km (city); 5.9 l/100km ,26799,EUR,Heated front seats; Integrated music streaming; Voice control; Navigation system; Paddle shifters; Sport front seats; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning; Xenon headlights,1 984 ccm,05/2025,1.0,,,,,,,,,,,
87,hyundai kona,61029942,Hyundai,Kona,Red,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,100 kW,0 g/km,No emission class,Lithium polymer (Li-pol),,,,No,39 220 km,9/2020,,,21399,EUR,Heated front seats; Navigation system; Heated steering wheel; Bluetooth; Automatic A/C; Light sensor; Lane assist; Hill-start assist; Front collision warning system; Multifunctional steering wheel,,,1.0,,42 kWh,,,,,,,,,
88,mazda mx-30,61029908,Mazda,MX-30,Black,Metallic,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,107 kW,107 kW,0 g/km,No emission class,Lithium-ion (Li-ion),,,160000 km,No,10 km,10/2023,,,26799,EUR,LED headlights; Adaptive cruise control; Head-up display; Apple CarPlay; Android auto; Voice control; Navigation system; Heated steering wheel; Bluetooth; Automatic A/C,830 ccm,,,,36 kWh,,,,,,,,,
89,volkswagen golf,61029869,Volkswagen,Golf,Blue,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,96 kW,,117 g/km,Euro 6d,,,,,,4 990 km,12/2022,,5.1 l/100km (combined),31999,EUR,LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system,1 498 ccm,01/2023,1.0,,,,,,,,,,,
90,mercedes-benz cla-200-shooting-brake,61029839,Mercedes-Benz,CLA 200 Shooting Brake,Grey,Metallic,Black interior,Part leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,,134 g/km,Euro 6,,,,,,14 000 km,7/2022,,5.1 l/100km (combined); 6.2 l/100km (city); 4.2 l/100km ,36199,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Panoramic roof; Navigation system; Glare-free high beam headlights,1 950 ccm,,1.0,,,,,,,,,,,
